,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,30041（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,Unnamed: 9,40001 蓄電（Wh）,40001 放電（Wh）,40201 蓄電（Wh）,40201 放電（Wh）,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation,battery
2022-03-01 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 00:00:00,45856.0,0.0,,,,,,,,,,45856.0,0.0,
2022-03-01 00:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 00:30:00,43874.0,0.0,,,,,,,,,,43874.0,0.0,
2022-03-01 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 01:00:00,52460.0,0.0,,,,,,,,,,52460.0,0.0,
2022-03-01 01:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 01:30:00,53435.0,0.0,,,,,,,,,,53435.0,0.0,
2022-03-01 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 02:00:00,45578.0,0.0,,,,,,,,,,45578.0,0.0,
2022-03-01 02:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 02:30:00,48029.0,0.0,,,,,,,,,,48029.0,0.0,
2022-03-01 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 03:00:00,41524.0,0.0,,,,,,,,,,41524.0,0.0,
2022-03-01 03:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 03:30:00,45087.0,0.0,,,,,,,,,,45087.0,0.0,
2022-03-01 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 04:00:00,42837.0,0.0,,,,,,,,,,42837.0,0.0,
2022-03-01 04:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 04:30:00,46941.0,0.0,,,,,,,,,,46941.0,0.0,
2022-03-01 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 05:00:00,50286.0,0.0,,,,,,,,,,50286.0,0.0,
2022-03-01 05:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 05:30:00,50747.0,0.0,,,,,,,,,,50747.0,0.0,
2022-03-01 06:00:00+09:00,0.0,4.0,5.0,0.0,0.0,2022-03-01 06:00:00,61523.0,0.0,,,,,,,,,,61523.0,9.0,
2022-03-01 06:30:00+09:00,1350.0,60.0,63.0,0.0,0.0,2022-03-01 06:30:00,85145.0,0.0,,,,,,,,,,85145.0,1473.0,
2022-03-01 07:00:00+09:00,7750.0,245.0,256.0,0.0,0.0,2022-03-01 07:00:00,99293.0,0.0,,,,,,,,,,99293.0,8251.0,
2022-03-01 07:30:00+09:00,14450.0,435.0,440.0,0.0,0.0,2022-03-01 07:30:00,106914.0,0.0,,,,,,,,,,106914.0,15325.0,
2022-03-01 08:00:00+09:00,20620.0,618.0,600.0,0.0,0.0,2022-03-01 08:00:00,104841.0,0.0,,,,,,,,,,104841.0,21838.0,
2022-03-01 08:30:00+09:00,20050.0,577.0,569.0,0.0,0.0,2022-03-01 08:30:00,107487.0,0.0,,,,,,,,,,107487.0,21196.0,
2022-03-01 09:00:00+09:00,28050.0,782.0,778.0,0.0,0.0,2022-03-01 09:00:00,104914.0,0.0,,,,,,,,,,104914.0,29610.0,
2022-03-01 09:30:00+09:00,24040.0,687.0,667.0,0.0,0.0,2022-03-01 09:30:00,121337.0,0.0,,,,,,,,,,121337.0,25394.0,
2022-03-01 10:00:00+09:00,46000.0,1275.0,1260.0,0.0,0.0,2022-03-01 10:00:00,92639.0,0.0,,,,,,,,,,92639.0,48535.0,
2022-03-01 10:30:00+09:00,48790.0,1359.0,1335.0,0.0,0.0,2022-03-01 10:30:00,93700.0,0.0,,,,,,,,,,93700.0,51484.0,
2022-03-01 11:00:00+09:00,36340.0,1034.0,998.0,0.0,0.0,2022-03-01 11:00:00,104091.0,0.0,,,,,,,,,,104091.0,38372.0,
2022-03-01 11:30:00+09:00,47010.0,1287.0,1273.0,0.0,0.0,2022-03-01 11:30:00,94971.0,0.0,,,,,,,,,,94971.0,49570.0,
2022-03-01 12:00:00+09:00,54550.0,1505.0,1476.0,0.0,0.0,2022-03-01 12:00:00,88148.0,0.0,,,,,,,,,,88148.0,57531.0,
2022-03-01 12:30:00+09:00,53140.0,1467.0,1440.0,0.0,0.0,2022-03-01 12:30:00,81035.0,0.0,,,,,,,,,,81035.0,56047.0,
2022-03-01 13:00:00+09:00,50000.0,1382.0,1355.0,0.0,0.0,2022-03-01 13:00:00,86699.0,0.0,,,,,,,,,,86699.0,52737.0,
2022-03-01 13:30:00+09:00,46400.0,1285.0,1261.0,0.0,0.0,2022-03-01 13:30:00,96573.0,0.0,,,,,,,,,,96573.0,48946.0,
2022-03-01 14:00:00+09:00,42790.0,1197.0,1169.0,0.0,0.0,2022-03-01 14:00:00,95307.0,0.0,,,,,,,,,,95307.0,45156.0,
2022-03-01 14:30:00+09:00,32500.0,920.0,894.0,0.0,0.0,2022-03-01 14:30:00,109884.0,0.0,,,,,,,,,,109884.0,34314.0,
2022-03-01 15:00:00+09:00,8810.0,263.0,256.0,0.0,0.0,2022-03-01 15:00:00,124817.0,0.0,,,,,,,,,,124817.0,9329.0,
2022-03-01 15:30:00+09:00,6540.0,202.0,197.0,0.0,0.0,2022-03-01 15:30:00,126637.0,0.0,,,,,,,,,,126637.0,6939.0,
2022-03-01 16:00:00+09:00,5940.0,179.0,183.0,0.0,0.0,2022-03-01 16:00:00,121869.0,0.0,,,,,,,,,,121869.0,6302.0,
2022-03-01 16:30:00+09:00,5140.0,175.0,166.0,0.0,0.0,2022-03-01 16:30:00,114641.0,0.0,,,,,,,,,,114641.0,5481.0,
2022-03-01 17:00:00+09:00,520.0,37.0,37.0,0.0,0.0,2022-03-01 17:00:00,128514.0,0.0,,,,,,,,,,128514.0,594.0,
2022-03-01 17:30:00+09:00,0.0,0.0,1.0,0.0,0.0,2022-03-01 17:30:00,128387.0,0.0,,,,,,,,,,128387.0,1.0,
2022-03-01 18:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 18:00:00,129101.0,0.0,,,,,,,,,,129101.0,0.0,
2022-03-01 18:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 18:30:00,122356.0,0.0,,,,,,,,,,122356.0,0.0,
2022-03-01 19:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 19:00:00,123626.0,0.0,,,,,,,,,,123626.0,0.0,
2022-03-01 19:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 19:30:00,117174.0,0.0,,,,,,,,,,117174.0,0.0,
2022-03-01 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 20:00:00,124320.0,0.0,,,,,,,,,,124320.0,0.0,
2022-03-01 20:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 20:30:00,115213.0,0.0,,,,,,,,,,115213.0,0.0,
2022-03-01 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 21:00:00,103340.0,0.0,,,,,,,,,,103340.0,0.0,
2022-03-01 21:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 21:30:00,113013.0,0.0,,,,,,,,,,113013.0,0.0,
2022-03-01 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 22:00:00,70727.0,0.0,,,,,,,,,,70727.0,0.0,
2022-03-01 22:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 22:30:00,63210.0,0.0,,,,,,,,,,63210.0,0.0,
2022-03-01 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 23:00:00,53697.0,0.0,,,,,,,,,,53697.0,0.0,
2022-03-01 23:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 23:30:00,53953.0,0.0,,,,,,,,,,53953.0,0.0,
2022-03-02 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 00:00:00,49719.0,0.0,,,,,,,,,,49719.0,0.0,
2022-03-02 00:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 00:30:00,48844.0,0.0,,,,,,,,,,48844.0,0.0,
2022-03-02 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 01:00:00,53990.0,0.0,,,,,,,,,,53990.0,0.0,
2022-03-02 01:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 01:30:00,52212.0,0.0,,,,,,,,,,52212.0,0.0,
2022-03-02 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 02:00:00,46544.0,0.0,,,,,,,,,,46544.0,0.0,
2022-03-02 02:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 02:30:00,50624.0,0.0,,,,,,,,,,50624.0,0.0,
2022-03-02 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 03:00:00,46591.0,0.0,,,,,,,,,,46591.0,0.0,
2022-03-02 03:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 03:30:00,47457.0,0.0,,,,,,,,,,47457.0,0.0,
2022-03-02 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 04:00:00,47325.0,0.0,,,,,,,,,,47325.0,0.0,
2022-03-02 04:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 04:30:00,48763.0,0.0,,,,,,,,,,48763.0,0.0,
2022-03-02 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 05:00:00,54917.0,0.0,,,,,,,,,,54917.0,0.0,
2022-03-02 05:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 05:30:00,56933.0,0.0,,,,,,,,,,56933.0,0.0,
2022-03-02 06:00:00+09:00,0.0,5.0,4.0,0.0,0.0,2022-03-02 06:00:00,68007.0,0.0,,,,,,,,,,68007.0,9.0,
2022-03-02 06:30:00+09:00,1730.0,74.0,77.0,0.0,0.0,2022-03-02 06:30:00,113882.0,0.0,,,,,,,,,,113882.0,1881.0,
2022-03-02 07:00:00+09:00,6900.0,226.0,227.0,0.0,0.0,2022-03-02 07:00:00,108602.0,0.0,,,,,,,,,,108602.0,7353.0,
2022-03-02 07:30:00+09:00,14310.0,430.0,429.0,0.0,0.0,2022-03-02 07:30:00,106512.0,0.0,,,,,,,,,,106512.0,15169.0,
2022-03-02 08:00:00+09:00,22920.0,654.0,649.0,0.0,0.0,2022-03-02 08:00:00,103502.0,0.0,,,,,,,,,,103502.0,24223.0,
2022-03-02 08:30:00+09:00,31430.0,880.0,870.0,0.0,0.0,2022-03-02 08:30:00,96745.0,0.0,,,,,,,,,,96745.0,33180.0,
2022-03-02 09:00:00+09:00,38910.0,1079.0,1066.0,0.0,0.0,2022-03-02 09:00:00,99685.0,0.0,,,,,,,,,,99685.0,41055.0,
2022-03-02 09:30:00+09:00,45210.0,1249.0,1229.0,0.0,0.0,2022-03-02 09:30:00,96339.0,0.0,,,,,,,,,,96339.0,47688.0,
2022-03-02 10:00:00+09:00,49850.0,1373.0,1352.0,0.0,0.0,2022-03-02 10:00:00,96170.0,0.0,,,,,,,,,,96170.0,52575.0,
2022-03-02 10:30:00+09:00,53540.0,1475.0,1451.0,0.0,0.0,2022-03-02 10:30:00,82660.0,0.0,,,,,,,,,,82660.0,56466.0,
2022-03-02 11:00:00+09:00,53280.0,1478.0,1447.0,0.0,0.0,2022-03-02 11:00:00,86762.0,0.0,,,,,,,,,,86762.0,56205.0,
2022-03-02 11:30:00+09:00,28240.0,791.0,785.0,0.0,0.0,2022-03-02 11:30:00,114386.0,0.0,,,,,,,,,,114386.0,29816.0,
2022-03-02 12:00:00+09:00,63150.0,1750.0,1722.0,0.0,0.0,2022-03-02 12:00:00,80672.0,0.0,,,,,,,,,,80672.0,66622.0,
2022-03-02 12:30:00+09:00,41530.0,1166.0,1137.0,0.0,0.0,2022-03-02 12:30:00,85309.0,0.0,,,,,,,,,,85309.0,43833.0,
2022-03-02 13:00:00+09:00,13750.0,403.0,392.0,0.0,0.0,2022-03-02 13:00:00,127563.0,0.0,,,,,,,,,,127563.0,14545.0,
2022-03-02 13:30:00+09:00,5620.0,175.0,172.0,0.0,0.0,2022-03-02 13:30:00,128141.0,0.0,,,,,,,,,,128141.0,5967.0,
2022-03-02 14:00:00+09:00,3940.0,128.0,126.0,0.0,0.0,2022-03-02 14:00:00,137935.0,0.0,,,,,,,,,,137935.0,4194.0,
2022-03-02 14:30:00+09:00,11450.0,332.0,325.0,0.0,0.0,2022-03-02 14:30:00,138035.0,0.0,,,,,,,,,,138035.0,12107.0,
2022-03-02 15:00:00+09:00,8630.0,254.0,252.0,0.0,0.0,2022-03-02 15:00:00,125280.0,0.0,,,,,,,,,,125280.0,9136.0,
2022-03-02 15:30:00+09:00,7710.0,232.0,228.0,0.0,0.0,2022-03-02 15:30:00,129098.0,0.0,,,,,,,,,,129098.0,8170.0,
2022-03-02 16:00:00+09:00,5210.0,165.0,162.0,0.0,0.0,2022-03-02 16:00:00,125833.0,0.0,,,,,,,,,,125833.0,5537.0,
2022-03-02 16:30:00+09:00,1220.0,56.0,55.0,0.0,0.0,2022-03-02 16:30:00,132610.0,0.0,,,,,,,,,,132610.0,1331.0,
2022-03-02 17:00:00+09:00,40.0,13.0,13.0,0.0,0.0,2022-03-02 17:00:00,127508.0,0.0,,,,,,,,,,127508.0,66.0,
2022-03-02 17:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 17:30:00,133346.0,0.0,,,,,,,,,,133346.0,0.0,
2022-03-02 18:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 18:00:00,131053.0,0.0,,,,,,,,,,131053.0,0.0,
2022-03-02 18:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 18:30:00,122494.0,0.0,,,,,,,,,,122494.0,0.0,
2022-03-02 19:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 19:00:00,122459.0,0.0,,,,,,,,,,122459.0,0.0,
2022-03-02 19:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 19:30:00,116557.0,0.0,,,,,,,,,,116557.0,0.0,
2022-03-02 20:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 20:00:00,118671.0,0.0,,,,,,,,,,118671.0,0.0,
2022-03-02 20:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 20:30:00,118585.0,0.0,,,,,,,,,,118585.0,0.0,
2022-03-02 21:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 21:00:00,109877.0,0.0,,,,,,,,,,109877.0,0.0,
2022-03-02 21:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 21:30:00,110163.0,0.0,,,,,,,,,,110163.0,0.0,
2022-03-02 22:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 22:00:00,76250.0,0.0,,,,,,,,,,76250.0,0.0,
2022-03-02 22:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 22:30:00,66021.0,0.0,,,,,,,,,,66021.0,0.0,
2022-03-02 23:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 23:00:00,60768.0,0.0,,,,,,,,,,60768.0,0.0,
2022-03-02 23:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-02 23:30:00,54022.0,0.0,,,,,,,,,,54022.0,0.0,
2022-03-03 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 00:00:00,47959.0,0.0,,,,,,,,,,47959.0,0.0,
2022-03-03 00:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 00:30:00,44837.0,0.0,,,,,,,,,,44837.0,0.0,
2022-03-03 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 01:00:00,61210.0,0.0,,,,,,,,,,61210.0,0.0,
2022-03-03 01:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 01:30:00,53242.0,0.0,,,,,,,,,,53242.0,0.0,
2022-03-03 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 02:00:00,53212.0,0.0,,,,,,,,,,53212.0,0.0,
2022-03-03 02:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 02:30:00,49027.0,0.0,,,,,,,,,,49027.0,0.0,
2022-03-03 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 03:00:00,43360.0,0.0,,,,,,,,,,43360.0,0.0,
2022-03-03 03:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 03:30:00,45609.0,0.0,,,,,,,,,,45609.0,0.0,
2022-03-03 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 04:00:00,46344.0,0.0,,,,,,,,,,46344.0,0.0,
2022-03-03 04:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 04:30:00,45263.0,0.0,,,,,,,,,,45263.0,0.0,
2022-03-03 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 05:00:00,56245.0,0.0,,,,,,,,,,56245.0,0.0,
2022-03-03 05:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-03 05:30:00,52863.0,0.0,,,,,,,,,,52863.0,0.0,
2022-03-03 06:00:00+09:00,0.0,6.0,7.0,0.0,0.0,2022-03-03 06:00:00,66987.0,0.0,,,,,,,,,,66987.0,13.0,
