,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,30041（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,40001 蓄電（Wh）,40001 放電（Wh）,40201 蓄電（Wh）,40201 放電（Wh）,cloud(%),solar(W/m2),telop_code,telop_name
2022-03-01 00:00:00+09:00,0,0,0,0,0,2022-03-01 00:00:00,45856,0,,,,,,,,,
2022-03-01 00:30:00+09:00,0,0,0,0,0,2022-03-01 00:30:00,43874,0,,,,,,,,,
2022-03-01 01:00:00+09:00,0,0,0,0,0,2022-03-01 01:00:00,52460,0,,,,,,,,,
2022-03-01 01:30:00+09:00,0,0,0,0,0,2022-03-01 01:30:00,53435,0,,,,,,,,,
2022-03-01 02:00:00+09:00,0,0,0,0,0,2022-03-01 02:00:00,45578,0,,,,,,,,,
2022-03-01 02:30:00+09:00,0,0,0,0,0,2022-03-01 02:30:00,48029,0,,,,,,,,,
2022-03-01 03:00:00+09:00,0,0,0,0,0,2022-03-01 03:00:00,41524,0,,,,,,,,,
2022-03-01 03:30:00+09:00,0,0,0,0,0,2022-03-01 03:30:00,45087,0,,,,,,,,,
2022-03-01 04:00:00+09:00,0,0,0,0,0,2022-03-01 04:00:00,42837,0,,,,,,,,,
2022-03-01 04:30:00+09:00,0,0,0,0,0,2022-03-01 04:30:00,46941,0,,,,,,,,,
2022-03-01 05:00:00+09:00,0,0,0,0,0,2022-03-01 05:00:00,50286,0,,,,,,,,,
2022-03-01 05:30:00+09:00,0,0,0,0,0,2022-03-01 05:30:00,50747,0,,,,,,,,,
2022-03-01 06:00:00+09:00,0,4,5,0,0,2022-03-01 06:00:00,61523,0,,,,,,,,,
2022-03-01 06:30:00+09:00,1350,60,63,0,0,2022-03-01 06:30:00,85145,0,,,,,,,,,
2022-03-01 07:00:00+09:00,7750,245,256,0,0,2022-03-01 07:00:00,99293,0,,,,,,,,,
2022-03-01 07:30:00+09:00,14450,435,440,0,0,2022-03-01 07:30:00,106914,0,,,,,,,,,
2022-03-01 08:00:00+09:00,20620,618,600,0,0,2022-03-01 08:00:00,104841,0,,,,,,,,,
2022-03-01 08:30:00+09:00,20050,577,569,0,0,2022-03-01 08:30:00,107487,0,,,,,,,,,
2022-03-01 09:00:00+09:00,28050,782,778,0,0,2022-03-01 09:00:00,104914,0,,,,,,,,,
2022-03-01 09:30:00+09:00,24040,687,667,0,0,2022-03-01 09:30:00,121337,0,,,,,,,,,
2022-03-01 10:00:00+09:00,46000,1275,1260,0,0,2022-03-01 10:00:00,92639,0,,,,,,,,,
2022-03-01 10:30:00+09:00,48790,1359,1335,0,0,2022-03-01 10:30:00,93700,0,,,,,,,,,
2022-03-01 11:00:00+09:00,36340,1034,998,0,0,2022-03-01 11:00:00,104091,0,,,,,,,,,
2022-03-01 11:30:00+09:00,47010,1287,1273,0,0,2022-03-01 11:30:00,94971,0,,,,,,,,,
2022-03-01 12:00:00+09:00,54550,1505,1476,0,0,2022-03-01 12:00:00,88148,0,,,,,,,,,
2022-03-01 12:30:00+09:00,53140,1467,1440,0,0,2022-03-01 12:30:00,81035,0,,,,,,,,,
2022-03-01 13:00:00+09:00,50000,1382,1355,0,0,2022-03-01 13:00:00,86699,0,,,,,,,,,
2022-03-01 13:30:00+09:00,46400,1285,1261,0,0,2022-03-01 13:30:00,96573,0,,,,,,,,,
2022-03-01 14:00:00+09:00,42790,1197,1169,0,0,2022-03-01 14:00:00,95307,0,,,,,,,,,
2022-03-01 14:30:00+09:00,32500,920,894,0,0,2022-03-01 14:30:00,109884,0,,,,,,,,,
2022-03-01 15:00:00+09:00,8810,263,256,0,0,2022-03-01 15:00:00,124817,0,,,,,,,,,
2022-03-01 15:30:00+09:00,6540,202,197,0,0,2022-03-01 15:30:00,126637,0,,,,,,,,,
2022-03-01 16:00:00+09:00,5940,179,183,0,0,2022-03-01 16:00:00,121869,0,,,,,,,,,
2022-03-01 16:30:00+09:00,5140,175,166,0,0,2022-03-01 16:30:00,114641,0,,,,,,,,,
2022-03-01 17:00:00+09:00,520,37,37,0,0,2022-03-01 17:00:00,128514,0,,,,,,,,,
2022-03-01 17:30:00+09:00,0,0,1,0,0,2022-03-01 17:30:00,128387,0,,,,,,,,,
2022-03-01 18:00:00+09:00,0,0,0,0,0,2022-03-01 18:00:00,129101,0,,,,,,,,,
2022-03-01 18:30:00+09:00,0,0,0,0,0,2022-03-01 18:30:00,122356,0,,,,,,,,,
2022-03-01 19:00:00+09:00,0,0,0,0,0,2022-03-01 19:00:00,123626,0,,,,,,,,,
2022-03-01 19:30:00+09:00,0,0,0,0,0,2022-03-01 19:30:00,117174,0,,,,,,,,,
2022-03-01 20:00:00+09:00,0,0,0,0,0,2022-03-01 20:00:00,124320,0,,,,,,,,,
2022-03-01 20:30:00+09:00,0,0,0,0,0,2022-03-01 20:30:00,115213,0,,,,,,,,,
2022-03-01 21:00:00+09:00,0,0,0,0,0,2022-03-01 21:00:00,103340,0,,,,,,,,,
2022-03-01 21:30:00+09:00,0,0,0,0,0,2022-03-01 21:30:00,113013,0,,,,,,,,,
2022-03-01 22:00:00+09:00,0,0,0,0,0,2022-03-01 22:00:00,70727,0,,,,,,,,,
2022-03-01 22:30:00+09:00,0,0,0,0,0,2022-03-01 22:30:00,63210,0,,,,,,,,,
2022-03-01 23:00:00+09:00,0,0,0,0,0,2022-03-01 23:00:00,53697,0,,,,,,,,,
2022-03-01 23:30:00+09:00,0,0,0,0,0,2022-03-01 23:30:00,53953,0,,,,,,,,,
2022-03-02 00:00:00+09:00,0,0,0,0,0,2022-03-02 00:00:00,49719,0,,,,,,,,,
2022-03-02 00:30:00+09:00,0,0,0,0,0,2022-03-02 00:30:00,48844,0,,,,,,,,,
2022-03-02 01:00:00+09:00,0,0,0,0,0,2022-03-02 01:00:00,53990,0,,,,,,,,,
2022-03-02 01:30:00+09:00,0,0,0,0,0,2022-03-02 01:30:00,52212,0,,,,,,,,,
2022-03-02 02:00:00+09:00,0,0,0,0,0,2022-03-02 02:00:00,46544,0,,,,,,,,,
2022-03-02 02:30:00+09:00,0,0,0,0,0,2022-03-02 02:30:00,50624,0,,,,,,,,,
2022-03-02 03:00:00+09:00,0,0,0,0,0,2022-03-02 03:00:00,46591,0,,,,,,,,,
2022-03-02 03:30:00+09:00,0,0,0,0,0,2022-03-02 03:30:00,47457,0,,,,,,,,,
2022-03-02 04:00:00+09:00,0,0,0,0,0,2022-03-02 04:00:00,47325,0,,,,,,,,,
2022-03-02 04:30:00+09:00,0,0,0,0,0,2022-03-02 04:30:00,48763,0,,,,,,,,,
2022-03-02 05:00:00+09:00,0,0,0,0,0,2022-03-02 05:00:00,54917,0,,,,,,,,,
2022-03-02 05:30:00+09:00,0,0,0,0,0,2022-03-02 05:30:00,56933,0,,,,,,,,,
2022-03-02 06:00:00+09:00,0,5,4,0,0,2022-03-02 06:00:00,68007,0,,,,,,,,,
2022-03-02 06:30:00+09:00,1730,74,77,0,0,2022-03-02 06:30:00,113882,0,,,,,,,,,
2022-03-02 07:00:00+09:00,6900,226,227,0,0,2022-03-02 07:00:00,108602,0,,,,,,,,,
2022-03-02 07:30:00+09:00,14310,430,429,0,0,2022-03-02 07:30:00,106512,0,,,,,,,,,
2022-03-02 08:00:00+09:00,22920,654,649,0,0,2022-03-02 08:00:00,103502,0,,,,,,,,,
2022-03-02 08:30:00+09:00,31430,880,870,0,0,2022-03-02 08:30:00,96745,0,,,,,,,,,
2022-03-02 09:00:00+09:00,38910,1079,1066,0,0,2022-03-02 09:00:00,99685,0,,,,,,,,,
2022-03-02 09:30:00+09:00,45210,1249,1229,0,0,2022-03-02 09:30:00,96339,0,,,,,,,,,
2022-03-02 10:00:00+09:00,49850,1373,1352,0,0,2022-03-02 10:00:00,96170,0,,,,,,,,,
2022-03-02 10:30:00+09:00,53540,1475,1451,0,0,2022-03-02 10:30:00,82660,0,,,,,,,,,
2022-03-02 11:00:00+09:00,53280,1478,1447,0,0,2022-03-02 11:00:00,86762,0,,,,,,,,,
2022-03-02 11:30:00+09:00,28240,791,785,0,0,2022-03-02 11:30:00,114386,0,,,,,,,,,
2022-03-02 12:00:00+09:00,63150,1750,1722,0,0,2022-03-02 12:00:00,80672,0,,,,,,,,,
2022-03-02 12:30:00+09:00,41530,1166,1137,0,0,2022-03-02 12:30:00,85309,0,,,,,,,,,
2022-03-02 13:00:00+09:00,13750,403,392,0,0,2022-03-02 13:00:00,127563,0,,,,,,,,,
2022-03-02 13:30:00+09:00,5620,175,172,0,0,2022-03-02 13:30:00,128141,0,,,,,,,,,
2022-03-02 14:00:00+09:00,3940,128,126,0,0,2022-03-02 14:00:00,137935,0,,,,,,,,,
2022-03-02 14:30:00+09:00,11450,332,325,0,0,2022-03-02 14:30:00,138035,0,,,,,,,,,
2022-03-02 15:00:00+09:00,8630,254,252,0,0,2022-03-02 15:00:00,125280,0,,,,,,,,,
2022-03-02 15:30:00+09:00,7710,232,228,0,0,2022-03-02 15:30:00,129098,0,,,,,,,,,
2022-03-02 16:00:00+09:00,5210,165,162,0,0,2022-03-02 16:00:00,125833,0,,,,,,,,,
2022-03-02 16:30:00+09:00,1220,56,55,0,0,2022-03-02 16:30:00,132610,0,,,,,,,,,
2022-03-02 17:00:00+09:00,40,13,13,0,0,2022-03-02 17:00:00,127508,0,,,,,,,,,
2022-03-02 17:30:00+09:00,0,0,0,0,0,2022-03-02 17:30:00,133346,0,,,,,,,,,
2022-03-02 18:00:00+09:00,0,0,0,0,0,2022-03-02 18:00:00,131053,0,,,,,,,,,
2022-03-02 18:30:00+09:00,0,0,0,0,0,2022-03-02 18:30:00,122494,0,,,,,,,,,
2022-03-02 19:00:00+09:00,0,0,0,0,0,2022-03-02 19:00:00,122459,0,,,,,,,,,
2022-03-02 19:30:00+09:00,0,0,0,0,0,2022-03-02 19:30:00,116557,0,,,,,,,,,
2022-03-02 20:00:00+09:00,0,0,0,0,0,2022-03-02 20:00:00,118671,0,,,,,,,,,
2022-03-02 20:30:00+09:00,0,0,0,0,0,2022-03-02 20:30:00,118585,0,,,,,,,,,
2022-03-02 21:00:00+09:00,0,0,0,0,0,2022-03-02 21:00:00,109877,0,,,,,,,,,
2022-03-02 21:30:00+09:00,0,0,0,0,0,2022-03-02 21:30:00,110163,0,,,,,,,,,
2022-03-02 22:00:00+09:00,0,0,0,0,0,2022-03-02 22:00:00,76250,0,,,,,,,,,
2022-03-02 22:30:00+09:00,0,0,0,0,0,2022-03-02 22:30:00,66021,0,,,,,,,,,
2022-03-02 23:00:00+09:00,0,0,0,0,0,2022-03-02 23:00:00,60768,0,,,,,,,,,
2022-03-02 23:30:00+09:00,0,0,0,0,0,2022-03-02 23:30:00,54022,0,,,,,,,,,
2022-03-03 00:00:00+09:00,0,0,0,0,0,2022-03-03 00:00:00,47959,0,,,,,,,,,
2022-03-03 00:30:00+09:00,0,0,0,0,0,2022-03-03 00:30:00,44837,0,,,,,,,,,
2022-03-03 01:00:00+09:00,0,0,0,0,0,2022-03-03 01:00:00,61210,0,,,,,,,,,
2022-03-03 01:30:00+09:00,0,0,0,0,0,2022-03-03 01:30:00,53242,0,,,,,,,,,
2022-03-03 02:00:00+09:00,0,0,0,0,0,2022-03-03 02:00:00,53212,0,,,,,,,,,
2022-03-03 02:30:00+09:00,0,0,0,0,0,2022-03-03 02:30:00,49027,0,,,,,,,,,
2022-03-03 03:00:00+09:00,0,0,0,0,0,2022-03-03 03:00:00,43360,0,,,,,,,,,
2022-03-03 03:30:00+09:00,0,0,0,0,0,2022-03-03 03:30:00,45609,0,,,,,,,,,
2022-03-03 04:00:00+09:00,0,0,0,0,0,2022-03-03 04:00:00,46344,0,,,,,,,,,
2022-03-03 04:30:00+09:00,0,0,0,0,0,2022-03-03 04:30:00,45263,0,,,,,,,,,
2022-03-03 05:00:00+09:00,0,0,0,0,0,2022-03-03 05:00:00,56245,0,,,,,,,,,
2022-03-03 05:30:00+09:00,0,0,0,0,0,2022-03-03 05:30:00,52863,0,,,,,,,,,
2022-03-03 06:00:00+09:00,0,6,7,0,0,2022-03-03 06:00:00,66987,0,,,,,,,,,
2022-03-03 06:30:00+09:00,2320,87,90,0,0,2022-03-03 06:30:00,87757,0,,,,,,,,,
2022-03-03 07:00:00+09:00,8520,267,278,0,0,2022-03-03 07:00:00,106194,0,,,,,,,,,
2022-03-03 07:30:00+09:00,16350,481,486,0,0,2022-03-03 07:30:00,103831,0,,,,,,,,,
2022-03-03 08:00:00+09:00,25010,713,698,0,0,2022-03-03 08:00:00,98497,0,,,,,,,,,
2022-03-03 08:30:00+09:00,32430,912,886,0,0,2022-03-03 08:30:00,95951,0,,,,,,,,,
2022-03-03 09:00:00+09:00,39080,1084,1072,0,0,2022-03-03 09:00:00,101283,0,,,,,,,,,
2022-03-03 09:30:00+09:00,43790,1206,1201,0,0,2022-03-03 09:30:00,98720,0,,,,,,,,,
2022-03-03 10:00:00+09:00,47540,1334,1307,0,0,2022-03-03 10:00:00,95300,0,,,,,,,,,
2022-03-03 10:30:00+09:00,45890,1262,1248,0,0,2022-03-03 10:30:00,95989,0,,,,,,,,,
2022-03-03 11:00:00+09:00,52730,1474,1441,0,0,2022-03-03 11:00:00,92907,0,,,,,,,,,
