,30001（Wh）,30011（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,cloud(%),solar(W/m2),telop_code,telop_name
2022-03-01 00:00:00+09:00,0,0,2022-03-01 00:00:00,2695,0,,,,,
2022-03-01 00:30:00+09:00,0,0,2022-03-01 00:30:00,2673,0,,,,,
2022-03-01 01:00:00+09:00,0,0,2022-03-01 01:00:00,2635,0,,,,,
2022-03-01 01:30:00+09:00,0,0,2022-03-01 01:30:00,2623,0,,,,,
2022-03-01 02:00:00+09:00,0,0,2022-03-01 02:00:00,2706,0,,,,,
2022-03-01 02:30:00+09:00,0,0,2022-03-01 02:30:00,2666,0,,,,,
2022-03-01 03:00:00+09:00,0,0,2022-03-01 03:00:00,2682,0,,,,,
2022-03-01 03:30:00+09:00,0,0,2022-03-01 03:30:00,2701,0,,,,,
2022-03-01 04:00:00+09:00,0,0,2022-03-01 04:00:00,2721,0,,,,,
2022-03-01 04:30:00+09:00,0,0,2022-03-01 04:30:00,2644,0,,,,,
2022-03-01 05:00:00+09:00,0,0,2022-03-01 05:00:00,2732,0,,,,,
2022-03-01 05:30:00+09:00,0,0,2022-03-01 05:30:00,2700,0,,,,,
2022-03-01 06:00:00+09:00,0,0,2022-03-01 06:00:00,3534,0,,,,,
2022-03-01 06:30:00+09:00,320,320,2022-03-01 06:30:00,10732,0,,,,,
2022-03-01 07:00:00+09:00,1160,4230,2022-03-01 07:00:00,6252,0,,,,,
2022-03-01 07:30:00+09:00,1900,7190,2022-03-01 07:30:00,2645,0,,,,,
2022-03-01 08:00:00+09:00,2380,8960,2022-03-01 08:00:00,851,380,,,,,
2022-03-01 08:30:00+09:00,3740,13610,2022-03-01 08:30:00,7853,4397,,,,,
2022-03-01 09:00:00+09:00,3980,14280,2022-03-01 09:00:00,54798,0,,,,,
2022-03-01 09:30:00+09:00,4640,16910,2022-03-01 09:30:00,38858,0,,,,,
2022-03-01 10:00:00+09:00,8700,33040,2022-03-01 10:00:00,14197,385,,,,,
2022-03-01 10:30:00+09:00,7400,27980,2022-03-01 10:30:00,17720,534,,,,,
2022-03-01 11:00:00+09:00,2750,9510,2022-03-01 11:00:00,37978,0,,,,,
2022-03-01 11:30:00+09:00,5790,21480,2022-03-01 11:30:00,23379,16,,,,,
2022-03-01 12:00:00+09:00,6220,23200,2022-03-01 12:00:00,19318,44,,,,,
2022-03-01 12:30:00+09:00,5210,19230,2022-03-01 12:30:00,24154,264,,,,,
2022-03-01 13:00:00+09:00,7650,28830,2022-03-01 13:00:00,13361,1982,,,,,
2022-03-01 13:30:00+09:00,3150,11110,2022-03-01 13:30:00,32259,0,,,,,
2022-03-01 14:00:00+09:00,3080,10830,2022-03-01 14:00:00,34817,0,,,,,
2022-03-01 14:30:00+09:00,2580,8850,2022-03-01 14:30:00,36539,0,,,,,
2022-03-01 15:00:00+09:00,4060,14680,2022-03-01 15:00:00,28861,0,,,,,
2022-03-01 15:30:00+09:00,1880,6120,2022-03-01 15:30:00,38653,0,,,,,
2022-03-01 16:00:00+09:00,970,2530,2022-03-01 16:00:00,45984,0,,,,,
2022-03-01 16:30:00+09:00,810,1920,2022-03-01 16:30:00,46009,0,,,,,
2022-03-01 17:00:00+09:00,260,250,2022-03-01 17:00:00,50329,0,,,,,
2022-03-01 17:30:00+09:00,0,0,2022-03-01 17:30:00,48213,0,,,,,
2022-03-01 18:00:00+09:00,0,0,2022-03-01 18:00:00,48969,0,,,,,
2022-03-01 18:30:00+09:00,0,0,2022-03-01 18:30:00,48898,0,,,,,
2022-03-01 19:00:00+09:00,0,0,2022-03-01 19:00:00,15144,0,,,,,
2022-03-01 19:30:00+09:00,0,0,2022-03-01 19:30:00,3021,0,,,,,
2022-03-01 20:00:00+09:00,0,0,2022-03-01 20:00:00,2677,0,,,,,
2022-03-01 20:30:00+09:00,0,0,2022-03-01 20:30:00,2672,0,,,,,
2022-03-01 21:00:00+09:00,0,0,2022-03-01 21:00:00,2681,0,,,,,
2022-03-01 21:30:00+09:00,0,0,2022-03-01 21:30:00,2640,0,,,,,
2022-03-01 22:00:00+09:00,0,0,2022-03-01 22:00:00,2660,0,,,,,
2022-03-01 22:30:00+09:00,0,0,2022-03-01 22:30:00,2609,0,,,,,
2022-03-01 23:00:00+09:00,0,0,2022-03-01 23:00:00,2645,0,,,,,
2022-03-01 23:30:00+09:00,0,0,2022-03-01 23:30:00,2780,0,,,,,
2022-03-02 00:00:00+09:00,0,0,2022-03-02 00:00:00,2868,0,,,,,
2022-03-02 00:30:00+09:00,0,0,2022-03-02 00:30:00,2731,0,,,,,
2022-03-02 01:00:00+09:00,0,0,2022-03-02 01:00:00,2717,0,,,,,
2022-03-02 01:30:00+09:00,0,0,2022-03-02 01:30:00,2713,0,,,,,
2022-03-02 02:00:00+09:00,0,0,2022-03-02 02:00:00,2719,0,,,,,
2022-03-02 02:30:00+09:00,0,0,2022-03-02 02:30:00,2736,0,,,,,
2022-03-02 03:00:00+09:00,0,0,2022-03-02 03:00:00,2711,0,,,,,
2022-03-02 03:30:00+09:00,0,0,2022-03-02 03:30:00,2734,0,,,,,
2022-03-02 04:00:00+09:00,0,0,2022-03-02 04:00:00,2682,0,,,,,
2022-03-02 04:30:00+09:00,0,0,2022-03-02 04:30:00,2653,0,,,,,
2022-03-02 05:00:00+09:00,0,0,2022-03-02 05:00:00,2759,0,,,,,
2022-03-02 05:30:00+09:00,0,0,2022-03-02 05:30:00,2658,0,,,,,
2022-03-02 06:00:00+09:00,10,0,2022-03-02 06:00:00,3995,0,,,,,
2022-03-02 06:30:00+09:00,710,2070,2022-03-02 06:30:00,8603,0,,,,,
2022-03-02 07:00:00+09:00,2850,11510,2022-03-02 07:00:00,594,3100,,,,,
2022-03-02 07:30:00+09:00,6030,24470,2022-03-02 07:30:00,0,18455,,,,,
2022-03-02 08:00:00+09:00,9430,38450,2022-03-02 08:00:00,0,35419,,,,,
2022-03-02 08:30:00+09:00,13210,53500,2022-03-02 08:30:00,0,49120,,,,,
2022-03-02 09:00:00+09:00,13560,54090,2022-03-02 09:00:00,7089,11701,,,,,
2022-03-02 09:30:00+09:00,13430,53200,2022-03-02 09:30:00,2660,19809,,,,,
2022-03-02 10:00:00+09:00,14460,56160,2022-03-02 10:00:00,0,25607,,,,,
2022-03-02 10:30:00+09:00,16340,64160,2022-03-02 10:30:00,0,37153,,,,,
2022-03-02 11:00:00+09:00,22500,88430,2022-03-02 11:00:00,0,68915,,,,,
2022-03-02 11:30:00+09:00,21810,86250,2022-03-02 11:30:00,0,67467,,,,,
2022-03-02 12:00:00+09:00,15110,58330,2022-03-02 12:00:00,0,32442,,,,,
2022-03-02 12:30:00+09:00,15670,60850,2022-03-02 12:30:00,5,37291,,,,,
2022-03-02 13:00:00+09:00,8050,30030,2022-03-02 13:00:00,3415,1679,,,,,
2022-03-02 13:30:00+09:00,15030,56950,2022-03-02 13:30:00,0,33655,,,,,
2022-03-02 14:00:00+09:00,12620,47700,2022-03-02 14:00:00,0,22787,,,,,
2022-03-02 14:30:00+09:00,9760,37030,2022-03-02 14:30:00,378,7574,,,,,
2022-03-02 15:00:00+09:00,10570,39920,2022-03-02 15:00:00,0,12464,,,,,
2022-03-02 15:30:00+09:00,8270,30710,2022-03-02 15:30:00,147,8059,,,,,
2022-03-02 16:00:00+09:00,4620,16490,2022-03-02 16:00:00,16994,37,,,,,
2022-03-02 16:30:00+09:00,2370,7960,2022-03-02 16:30:00,33742,0,,,,,
2022-03-02 17:00:00+09:00,680,1410,2022-03-02 17:00:00,43760,0,,,,,
2022-03-02 17:30:00+09:00,100,10,2022-03-02 17:30:00,45274,0,,,,,
2022-03-02 18:00:00+09:00,0,0,2022-03-02 18:00:00,46196,0,,,,,
2022-03-02 18:30:00+09:00,0,0,2022-03-02 18:30:00,45516,0,,,,,
2022-03-02 19:00:00+09:00,0,0,2022-03-02 19:00:00,22625,0,,,,,
2022-03-02 19:30:00+09:00,0,0,2022-03-02 19:30:00,2736,0,,,,,
2022-03-02 20:00:00+09:00,0,0,2022-03-02 20:00:00,2642,0,,,,,
2022-03-02 20:30:00+09:00,0,0,2022-03-02 20:30:00,2741,0,,,,,
2022-03-02 21:00:00+09:00,0,0,2022-03-02 21:00:00,2654,0,,,,,
2022-03-02 21:30:00+09:00,0,0,2022-03-02 21:30:00,2637,0,,,,,
2022-03-02 22:00:00+09:00,0,0,2022-03-02 22:00:00,2714,0,,,,,
2022-03-02 22:30:00+09:00,0,0,2022-03-02 22:30:00,2675,0,,,,,
2022-03-02 23:00:00+09:00,0,0,2022-03-02 23:00:00,2640,0,,,,,
2022-03-02 23:30:00+09:00,0,0,2022-03-02 23:30:00,2685,0,,,,,
2022-03-03 00:00:00+09:00,0,0,2022-03-03 00:00:00,2687,0,,,,,
2022-03-03 00:30:00+09:00,0,0,2022-03-03 00:30:00,2714,0,,,,,
2022-03-03 01:00:00+09:00,0,0,2022-03-03 01:00:00,2622,0,,,,,
2022-03-03 01:30:00+09:00,0,0,2022-03-03 01:30:00,2609,0,,,,,
2022-03-03 02:00:00+09:00,0,0,2022-03-03 02:00:00,2647,0,,,,,
2022-03-03 02:30:00+09:00,0,0,2022-03-03 02:30:00,2662,0,,,,,
2022-03-03 03:00:00+09:00,0,0,2022-03-03 03:00:00,2672,0,,,,,
2022-03-03 03:30:00+09:00,0,0,2022-03-03 03:30:00,2718,0,,,,,
2022-03-03 04:00:00+09:00,0,0,2022-03-03 04:00:00,2690,0,,,,,
2022-03-03 04:30:00+09:00,0,0,2022-03-03 04:30:00,2691,0,,,,,
2022-03-03 05:00:00+09:00,0,0,2022-03-03 05:00:00,2731,0,,,,,
2022-03-03 05:30:00+09:00,0,0,2022-03-03 05:30:00,2635,0,,,,,
2022-03-03 06:00:00+09:00,20,0,2022-03-03 06:00:00,3700,0,,,,,
2022-03-03 06:30:00+09:00,560,1240,2022-03-03 06:30:00,9633,0,,,,,
2022-03-03 07:00:00+09:00,1630,6380,2022-03-03 07:00:00,4541,857,,,,,
2022-03-03 07:30:00+09:00,7130,29260,2022-03-03 07:30:00,0,24238,,,,,
2022-03-03 08:00:00+09:00,10990,45600,2022-03-03 08:00:00,0,44047,,,,,
2022-03-03 08:30:00+09:00,10320,41090,2022-03-03 08:30:00,3282,37586,,,,,
2022-03-03 09:00:00+09:00,4080,15130,2022-03-03 09:00:00,34988,0,,,,,
2022-03-03 09:30:00+09:00,7640,28410,2022-03-03 09:30:00,15571,1646,,,,,
2022-03-03 10:00:00+09:00,13150,52050,2022-03-03 10:00:00,7522,25927,,,,,
2022-03-03 10:30:00+09:00,18920,75800,2022-03-03 10:30:00,812,52400,,,,,
2022-03-03 11:00:00+09:00,14490,56050,2022-03-03 11:00:00,429,29236,,,,,
2022-03-03 11:30:00+09:00,13640,52960,2022-03-03 11:30:00,403,25074,,,,,
2022-03-03 12:00:00+09:00,5970,22200,2022-03-03 12:00:00,12569,749,,,,,
2022-03-03 12:30:00+09:00,20080,78250,2022-03-03 12:30:00,0,55906,,,,,
2022-03-03 13:00:00+09:00,11600,43840,2022-03-03 13:00:00,739,16530,,,,,
2022-03-03 13:30:00+09:00,6930,25650,2022-03-03 13:30:00,10434,3499,,,,,
2022-03-03 14:00:00+09:00,9830,37860,2022-03-03 14:00:00,3420,12362,,,,,
2022-03-03 14:30:00+09:00,7310,26650,2022-03-03 14:30:00,9151,4447,,,,,
2022-03-03 15:00:00+09:00,13060,47750,2022-03-03 15:00:00,1861,23915,,,,,
2022-03-03 15:30:00+09:00,10810,39160,2022-03-03 15:30:00,5481,16902,,,,,
2022-03-03 16:00:00+09:00,5330,18750,2022-03-03 16:00:00,17128,2301,,,,,
2022-03-03 16:30:00+09:00,2360,7840,2022-03-03 16:30:00,29963,0,,,,,
2022-03-03 17:00:00+09:00,1170,3270,2022-03-03 17:00:00,39854,0,,,,,
2022-03-03 17:30:00+09:00,170,150,2022-03-03 17:30:00,48340,0,,,,,
2022-03-03 18:00:00+09:00,0,0,2022-03-03 18:00:00,45858,0,,,,,
2022-03-03 18:30:00+09:00,0,0,2022-03-03 18:30:00,46650,0,,,,,
2022-03-03 19:00:00+09:00,0,0,2022-03-03 19:00:00,10379,0,,,,,
2022-03-03 19:30:00+09:00,0,0,2022-03-03 19:30:00,2644,0,,,,,
2022-03-03 20:00:00+09:00,0,0,2022-03-03 20:00:00,2572,0,,,,,
2022-03-03 20:30:00+09:00,0,0,2022-03-03 20:30:00,2630,0,,,,,
2022-03-03 21:00:00+09:00,0,0,2022-03-03 21:00:00,2615,0,,,,,
2022-03-03 21:30:00+09:00,0,0,2022-03-03 21:30:00,2465,0,,,,,
2022-03-03 22:00:00+09:00,0,0,2022-03-03 22:00:00,2323,0,,,,,
2022-03-03 22:30:00+09:00,0,0,2022-03-03 22:30:00,2682,0,,,,,
2022-03-03 23:00:00+09:00,0,0,2022-03-03 23:00:00,2812,0,,,,,
2022-03-03 23:30:00+09:00,0,0,2022-03-03 23:30:00,2813,0,,,,,
2022-03-04 00:00:00+09:00,0,0,2022-03-04 00:00:00,2834,0,,,,,
2022-03-04 00:30:00+09:00,0,0,2022-03-04 00:30:00,2796,0,,,,,
2022-03-04 01:00:00+09:00,0,0,2022-03-04 01:00:00,2808,0,,,,,
2022-03-04 01:30:00+09:00,0,0,2022-03-04 01:30:00,2883,0,,,,,
2022-03-04 02:00:00+09:00,0,0,2022-03-04 02:00:00,2809,0,,,,,
2022-03-04 02:30:00+09:00,0,0,2022-03-04 02:30:00,2688,0,,,,,
2022-03-04 03:00:00+09:00,0,0,2022-03-04 03:00:00,2688,0,,,,,
2022-03-04 03:30:00+09:00,0,0,2022-03-04 03:30:00,2680,0,,,,,
2022-03-04 04:00:00+09:00,0,0,2022-03-04 04:00:00,2673,0,,,,,
2022-03-04 04:30:00+09:00,0,0,2022-03-04 04:30:00,2648,0,,,,,
2022-03-04 05:00:00+09:00,0,0,2022-03-04 05:00:00,2762,0,,,,,
2022-03-04 05:30:00+09:00,0,0,2022-03-04 05:30:00,2635,0,,,,,
2022-03-04 06:00:00+09:00,50,0,2022-03-04 06:00:00,4665,0,,,,,
2022-03-04 06:30:00+09:00,900,4040,2022-03-04 06:30:00,6862,1,,,,,
2022-03-04 07:00:00+09:00,3440,17180,2022-03-04 07:00:00,0,8802,,,,,
2022-03-04 07:30:00+09:00,6960,29900,2022-03-04 07:30:00,0,24674,,,,,
2022-03-04 08:00:00+09:00,10990,45710,2022-03-04 08:00:00,0,44045,,,,,
2022-03-04 08:30:00+09:00,12020,48900,2022-03-04 08:30:00,0,43330,,,,,
2022-03-04 09:00:00+09:00,17960,72420,2022-03-04 09:00:00,0,25016,,,,,
2022-03-04 09:30:00+09:00,20690,82130,2022-03-04 09:30:00,0,54038,,,,,
2022-03-04 10:00:00+09:00,22880,89910,2022-03-04 10:00:00,0,68204,,,,,
2022-03-04 10:30:00+09:00,24000,94900,2022-03-04 10:30:00,0,76599,,,,,
2022-03-04 11:00:00+09:00,24590,97690,2022-03-04 11:00:00,0,79854,,,,,
2022-03-04 11:30:00+09:00,24640,97610,2022-03-04 11:30:00,0,81095,,,,,
2022-03-04 12:00:00+09:00,24130,94800,2022-03-04 12:00:00,0,78892,,,,,
2022-03-04 12:30:00+09:00,23340,90700,2022-03-04 12:30:00,0,75599,,,,,
2022-03-04 13:00:00+09:00,22600,85830,2022-03-04 13:00:00,0,70194,,,,,
2022-03-04 13:30:00+09:00,20360,77350,2022-03-04 13:30:00,0,60129,,,,,
2022-03-04 14:00:00+09:00,16570,62880,2022-03-04 14:00:00,0,43838,,,,,
2022-03-04 14:30:00+09:00,14240,53660,2022-03-04 14:30:00,0,31437,,,,,
2022-03-04 15:00:00+09:00,11940,44560,2022-03-04 15:00:00,0,21654,,,,,
2022-03-04 15:30:00+09:00,7960,29520,2022-03-04 15:30:00,1737,3933,,,,,
2022-03-04 16:00:00+09:00,5080,18450,2022-03-04 16:00:00,12426,0,,,,,
2022-03-04 16:30:00+09:00,2510,8600,2022-03-04 16:30:00,29439,0,,,,,
2022-03-04 17:00:00+09:00,820,2020,2022-03-04 17:00:00,40239,0,,,,,
2022-03-04 17:30:00+09:00,60,0,2022-03-04 17:30:00,43566,0,,,,,
2022-03-04 18:00:00+09:00,0,0,2022-03-04 18:00:00,43670,0,,,,,
2022-03-04 18:30:00+09:00,0,0,2022-03-04 18:30:00,44241,0,,,,,
2022-03-04 19:00:00+09:00,0,0,2022-03-04 19:00:00,20804,0,,,,,
2022-03-04 19:30:00+09:00,0,0,2022-03-04 19:30:00,6267,0,,,,,
2022-03-04 20:00:00+09:00,0,0,2022-03-04 20:00:00,6100,0,,,,,
2022-03-04 20:30:00+09:00,0,0,2022-03-04 20:30:00,2699,0,,,,,
2022-03-04 21:00:00+09:00,0,0,2022-03-04 21:00:00,2679,0,,,,,
2022-03-04 21:30:00+09:00,0,0,2022-03-04 21:30:00,2649,0,,,,,
2022-03-04 22:00:00+09:00,0,0,2022-03-04 22:00:00,2643,0,,,,,
2022-03-04 22:30:00+09:00,0,0,2022-03-04 22:30:00,2727,0,,,,,
2022-03-04 23:00:00+09:00,0,0,2022-03-04 23:00:00,2713,0,,,,,
2022-03-04 23:30:00+09:00,0,0,2022-03-04 23:30:00,2790,0,,,,,
2022-03-05 00:00:00+09:00,0,0,2022-03-05 00:00:00,2768,0,,,,,
2022-03-05 00:30:00+09:00,0,0,2022-03-05 00:30:00,2431,0,,,,,
2022-03-05 01:00:00+09:00,0,0,2022-03-05 01:00:00,2631,0,,,,,
2022-03-05 01:30:00+09:00,0,0,2022-03-05 01:30:00,2669,0,,,,,
2022-03-05 02:00:00+09:00,0,0,2022-03-05 02:00:00,2665,0,,,,,
2022-03-05 02:30:00+09:00,0,0,2022-03-05 02:30:00,2670,0,,,,,
2022-03-05 03:00:00+09:00,0,0,2022-03-05 03:00:00,2723,0,,,,,
2022-03-05 03:30:00+09:00,0,0,2022-03-05 03:30:00,2701,0,,,,,
2022-03-05 04:00:00+09:00,0,0,2022-03-05 04:00:00,2697,0,,,,,
2022-03-05 04:30:00+09:00,0,0,2022-03-05 04:30:00,2699,0,,,,,
2022-03-05 05:00:00+09:00,0,0,2022-03-05 05:00:00,2827,0,,,,,
2022-03-05 05:30:00+09:00,0,0,2022-03-05 05:30:00,2759,0,,,,,
2022-03-05 06:00:00+09:00,40,0,2022-03-05 06:00:00,4671,0,,,,,
2022-03-05 06:30:00+09:00,880,2960,2022-03-05 06:30:00,7466,0,,,,,
2022-03-05 07:00:00+09:00,2980,12240,2022-03-05 07:00:00,293,4084,,,,,
2022-03-05 07:30:00+09:00,6040,24140,2022-03-05 07:30:00,0,18468,,,,,
2022-03-05 08:00:00+09:00,9420,38130,2022-03-05 08:00:00,0,35596,,,,,
2022-03-05 08:30:00+09:00,12850,51820,2022-03-05 08:30:00,0,46482,,,,,
2022-03-05 09:00:00+09:00,16000,64030,2022-03-05 09:00:00,1282,11363,,,,,
2022-03-05 09:30:00+09:00,18730,74560,2022-03-05 09:30:00,0,39667,,,,,
2022-03-05 10:00:00+09:00,20020,79170,2022-03-05 10:00:00,0,49491,,,,,
2022-03-05 10:30:00+09:00,21480,83710,2022-03-05 10:30:00,0,57895,,,,,
2022-03-05 11:00:00+09:00,23240,91570,2022-03-05 11:00:00,0,68423,,,,,
2022-03-05 11:30:00+09:00,24260,95320,2022-03-05 11:30:00,0,74162,,,,,
2022-03-05 12:00:00+09:00,22220,88020,2022-03-05 12:00:00,0,66969,,,,,
2022-03-05 12:30:00+09:00,17800,69680,2022-03-05 12:30:00,0,45741,,,,,
2022-03-05 13:00:00+09:00,13530,52440,2022-03-05 13:00:00,0,24765,,,,,
2022-03-05 13:30:00+09:00,6970,26110,2022-03-05 13:30:00,14139,4873,,,,,
2022-03-05 14:00:00+09:00,3480,12290,2022-03-05 14:00:00,25289,0,,,,,
2022-03-05 14:30:00+09:00,3110,10990,2022-03-05 14:30:00,27142,0,,,,,
2022-03-05 15:00:00+09:00,940,2430,2022-03-05 15:00:00,38374,0,,,,,
2022-03-05 15:30:00+09:00,850,2250,2022-03-05 15:30:00,39954,0,,,,,
2022-03-05 16:00:00+09:00,730,1640,2022-03-05 16:00:00,42966,0,,,,,
2022-03-05 16:30:00+09:00,800,2120,2022-03-05 16:30:00,41731,0,,,,,
2022-03-05 17:00:00+09:00,1040,2770,2022-03-05 17:00:00,42372,0,,,,,
2022-03-05 17:30:00+09:00,0,0,2022-03-05 17:30:00,45647,0,,,,,
2022-03-05 18:00:00+09:00,0,0,2022-03-05 18:00:00,46636,0,,,,,
2022-03-05 18:30:00+09:00,0,0,2022-03-05 18:30:00,43623,0,,,,,
2022-03-05 19:00:00+09:00,0,0,2022-03-05 19:00:00,10429,0,,,,,
2022-03-05 19:30:00+09:00,0,0,2022-03-05 19:30:00,2710,0,,,,,
2022-03-05 20:00:00+09:00,0,0,2022-03-05 20:00:00,2691,0,,,,,
2022-03-05 20:30:00+09:00,0,0,2022-03-05 20:30:00,2706,0,,,,,
2022-03-05 21:00:00+09:00,0,0,2022-03-05 21:00:00,2726,0,,,,,
2022-03-05 21:30:00+09:00,0,0,2022-03-05 21:30:00,2670,0,,,,,
2022-03-05 22:00:00+09:00,0,0,2022-03-05 22:00:00,2680,0,,,,,
2022-03-05 22:30:00+09:00,0,0,2022-03-05 22:30:00,2700,0,,,,,
2022-03-05 23:00:00+09:00,0,0,2022-03-05 23:00:00,2691,0,,,,,
2022-03-05 23:30:00+09:00,0,0,2022-03-05 23:30:00,2704,0,,,,,
2022-03-06 00:00:00+09:00,0,0,2022-03-06 00:00:00,2809,0,,,,,
2022-03-06 00:30:00+09:00,0,0,2022-03-06 00:30:00,2707,0,,,,,
2022-03-06 01:00:00+09:00,0,0,2022-03-06 01:00:00,2694,0,,,,,
2022-03-06 01:30:00+09:00,0,0,2022-03-06 01:30:00,2676,0,,,,,
2022-03-06 02:00:00+09:00,0,0,2022-03-06 02:00:00,2671,0,,,,,
2022-03-06 02:30:00+09:00,0,0,2022-03-06 02:30:00,2623,0,,,,,
2022-03-06 03:00:00+09:00,0,0,2022-03-06 03:00:00,2677,0,,,,,
2022-03-06 03:30:00+09:00,0,0,2022-03-06 03:30:00,2747,0,,,,,
2022-03-06 04:00:00+09:00,0,0,2022-03-06 04:00:00,2721,0,,,,,
2022-03-06 04:30:00+09:00,0,0,2022-03-06 04:30:00,2672,0,,,,,
2022-03-06 05:00:00+09:00,0,0,2022-03-06 05:00:00,2756,0,,,,,
2022-03-06 05:30:00+09:00,0,0,2022-03-06 05:30:00,2706,0,,,,,
2022-03-06 06:00:00+09:00,10,0,2022-03-06 06:00:00,2801,0,,,,,
2022-03-06 06:30:00+09:00,370,620,2022-03-06 06:30:00,4103,0,,,,,
2022-03-06 07:00:00+09:00,2700,10460,2022-03-06 07:00:00,582,7803,,,,,
2022-03-06 07:30:00+09:00,3570,13390,2022-03-06 07:30:00,169,8652,,,,,
2022-03-06 08:00:00+09:00,8930,35610,2022-03-06 08:00:00,0,32067,,,,,
2022-03-06 08:30:00+09:00,11520,45870,2022-03-06 08:30:00,5993,41700,,,,,
2022-03-06 09:00:00+09:00,10890,42420,2022-03-06 09:00:00,22564,4732,,,,,
2022-03-06 09:30:00+09:00,8740,34000,2022-03-06 09:30:00,18591,3532,,,,,
2022-03-06 10:00:00+09:00,12520,48590,2022-03-06 10:00:00,14881,21388,,,,,
2022-03-06 10:30:00+09:00,17100,67260,2022-03-06 10:30:00,1076,33222,,,,,
2022-03-06 11:00:00+09:00,11580,44430,2022-03-06 11:00:00,10729,15096,,,,,
2022-03-06 11:30:00+09:00,21550,85490,2022-03-06 11:30:00,486,56363,,,,,
2022-03-06 12:00:00+09:00,18380,72610,2022-03-06 12:00:00,2885,44626,,,,,
2022-03-06 12:30:00+09:00,21980,87250,2022-03-06 12:30:00,1012,59428,,,,,
2022-03-06 13:00:00+09:00,19130,73760,2022-03-06 13:00:00,416,43217,,,,,
2022-03-06 13:30:00+09:00,18140,71840,2022-03-06 13:30:00,4433,46123,,,,,
2022-03-06 14:00:00+09:00,10890,41220,2022-03-06 14:00:00,9027,10737,,,,,
2022-03-06 14:30:00+09:00,15320,58280,2022-03-06 14:30:00,1424,27808,,,,,
2022-03-06 15:00:00+09:00,5210,19150,2022-03-06 15:00:00,24883,57,,,,,
2022-03-06 15:30:00+09:00,7210,26380,2022-03-06 15:30:00,16777,2031,,,,,
2022-03-06 16:00:00+09:00,8890,32200,2022-03-06 16:00:00,11762,1711,,,,,
2022-03-06 16:30:00+09:00,1910,6150,2022-03-06 16:30:00,42162,0,,,,,
2022-03-06 17:00:00+09:00,690,1730,2022-03-06 17:00:00,47786,0,,,,,
2022-03-06 17:30:00+09:00,40,0,2022-03-06 17:30:00,52277,0,,,,,
2022-03-06 18:00:00+09:00,0,0,2022-03-06 18:00:00,55930,0,,,,,
2022-03-06 18:30:00+09:00,0,0,2022-03-06 18:30:00,54280,0,,,,,
2022-03-06 19:00:00+09:00,0,0,2022-03-06 19:00:00,10640,0,,,,,
2022-03-06 19:30:00+09:00,0,0,2022-03-06 19:30:00,2801,0,,,,,
2022-03-06 20:00:00+09:00,0,0,2022-03-06 20:00:00,2699,0,,,,,
2022-03-06 20:30:00+09:00,0,0,2022-03-06 20:30:00,2756,0,,,,,
2022-03-06 21:00:00+09:00,0,0,2022-03-06 21:00:00,2733,0,,,,,
2022-03-06 21:30:00+09:00,0,0,2022-03-06 21:30:00,2689,0,,,,,
2022-03-06 22:00:00+09:00,0,0,2022-03-06 22:00:00,2670,0,,,,,
2022-03-06 22:30:00+09:00,0,0,2022-03-06 22:30:00,2659,0,,,,,
2022-03-06 23:00:00+09:00,0,0,2022-03-06 23:00:00,2729,0,,,,,
2022-03-06 23:30:00+09:00,0,0,2022-03-06 23:30:00,2625,0,,,,,
2022-03-07 00:00:00+09:00,0,0,2022-03-07 00:00:00,2694,0,,,,,
2022-03-07 00:30:00+09:00,0,0,2022-03-07 00:30:00,2698,0,,,,,
2022-03-07 01:00:00+09:00,0,0,2022-03-07 01:00:00,2687,0,,,,,
2022-03-07 01:30:00+09:00,0,0,2022-03-07 01:30:00,2619,0,,,,,
2022-03-07 02:00:00+09:00,0,0,2022-03-07 02:00:00,2635,0,,,,,
2022-03-07 02:30:00+09:00,0,0,2022-03-07 02:30:00,2679,0,,,,,
2022-03-07 03:00:00+09:00,0,0,2022-03-07 03:00:00,2649,0,,,,,
2022-03-07 03:30:00+09:00,0,0,2022-03-07 03:30:00,2649,0,,,,,
2022-03-07 04:00:00+09:00,0,0,2022-03-07 04:00:00,2606,0,,,,,
2022-03-07 04:30:00+09:00,0,0,2022-03-07 04:30:00,2647,0,,,,,
2022-03-07 05:00:00+09:00,0,0,2022-03-07 05:00:00,2736,0,,,,,
2022-03-07 05:30:00+09:00,0,0,2022-03-07 05:30:00,2652,0,,,,,
2022-03-07 06:00:00+09:00,70,0,2022-03-07 06:00:00,2676,0,,,,,
2022-03-07 06:30:00+09:00,1090,4150,2022-03-07 06:30:00,1029,834,,,,,
2022-03-07 07:00:00+09:00,4690,19500,2022-03-07 07:00:00,0,15701,,,,,
2022-03-07 07:30:00+09:00,7720,31540,2022-03-07 07:30:00,0,30555,,,,,
2022-03-07 08:00:00+09:00,11180,45170,2022-03-07 08:00:00,0,46915,,,,,
2022-03-07 08:30:00+09:00,15300,61330,2022-03-07 08:30:00,0,62809,,,,,
2022-03-07 09:00:00+09:00,18350,73630,2022-03-07 09:00:00,0,23022,,,,,
2022-03-07 09:30:00+09:00,21380,85400,2022-03-07 09:30:00,0,52561,,,,,
2022-03-07 10:00:00+09:00,23090,90890,2022-03-07 10:00:00,0,64522,,,,,
