,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,30041（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,40001 蓄電（Wh）,40001 放電（Wh）,40201 蓄電（Wh）,40201 放電（Wh）,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation,battery
2022-03-01 00:00:00+09:00,0,0,0,0,0,1/3/2022 0:00,45856,0,,,,,,,,,,45856,0,
2022-03-01 00:30:00+09:00,0,0,0,0,0,1/3/2022 0:30,43874,0,,,,,,,,,,43874,0,
2022-03-01 01:00:00+09:00,0,0,0,0,0,1/3/2022 1:00,52460,0,,,,,,,,,,52460,0,
2022-03-01 01:30:00+09:00,0,0,0,0,0,1/3/2022 1:30,53435,0,,,,,,,,,,53435,0,
2022-03-01 02:00:00+09:00,0,0,0,0,0,1/3/2022 2:00,45578,0,,,,,,,,,,45578,0,
2022-03-01 02:30:00+09:00,0,0,0,0,0,1/3/2022 2:30,48029,0,,,,,,,,,,48029,0,
2022-03-01 03:00:00+09:00,0,0,0,0,0,1/3/2022 3:00,41524,0,,,,,,,,,,41524,0,
2022-03-01 03:30:00+09:00,0,0,0,0,0,1/3/2022 3:30,45087,0,,,,,,,,,,45087,0,
2022-03-01 04:00:00+09:00,0,0,0,0,0,1/3/2022 4:00,42837,0,,,,,,,,,,42837,0,
2022-03-01 04:30:00+09:00,0,0,0,0,0,1/3/2022 4:30,46941,0,,,,,,,,,,46941,0,
2022-03-01 05:00:00+09:00,0,0,0,0,0,1/3/2022 5:00,50286,0,,,,,,,,,,50286,0,
2022-03-01 05:30:00+09:00,0,0,0,0,0,1/3/2022 5:30,50747,0,,,,,,,,,,50747,0,
2022-03-01 06:00:00+09:00,0,4,5,0,0,1/3/2022 6:00,61523,0,,,,,,,,,,61523,9,
2022-03-01 06:30:00+09:00,1350,60,63,0,0,1/3/2022 6:30,85145,0,,,,,,,,,,85145,1473,
2022-03-01 07:00:00+09:00,7750,245,256,0,0,1/3/2022 7:00,99293,0,,,,,,,,,,99293,8251,
2022-03-01 07:30:00+09:00,14450,435,440,0,0,1/3/2022 7:30,106914,0,,,,,,,,,,106914,15325,
2022-03-01 08:00:00+09:00,20620,618,600,0,0,1/3/2022 8:00,104841,0,,,,,,,,,,104841,21838,
2022-03-01 08:30:00+09:00,20050,577,569,0,0,1/3/2022 8:30,107487,0,,,,,,,,,,107487,21196,
2022-03-01 09:00:00+09:00,28050,782,778,0,0,1/3/2022 9:00,104914,0,,,,,,,,,,104914,29610,
2022-03-01 09:30:00+09:00,24040,687,667,0,0,1/3/2022 9:30,121337,0,,,,,,,,,,121337,25394,
2022-03-01 10:00:00+09:00,46000,1275,1260,0,0,1/3/2022 10:00,92639,0,,,,,,,,,,92639,48535,
2022-03-01 10:30:00+09:00,48790,1359,1335,0,0,1/3/2022 10:30,93700,0,,,,,,,,,,93700,51484,
2022-03-01 11:00:00+09:00,36340,1034,998,0,0,1/3/2022 11:00,104091,0,,,,,,,,,,104091,38372,
2022-03-01 11:30:00+09:00,47010,1287,1273,0,0,1/3/2022 11:30,94971,0,,,,,,,,,,94971,49570,
2022-03-01 12:00:00+09:00,54550,1505,1476,0,0,1/3/2022 12:00,88148,0,,,,,,,,,,88148,57531,
2022-03-01 12:30:00+09:00,53140,1467,1440,0,0,1/3/2022 12:30,81035,0,,,,,,,,,,81035,56047,
2022-03-01 13:00:00+09:00,50000,1382,1355,0,0,1/3/2022 13:00,86699,0,,,,,,,,,,86699,52737,
2022-03-01 13:30:00+09:00,46400,1285,1261,0,0,1/3/2022 13:30,96573,0,,,,,,,,,,96573,48946,
2022-03-01 14:00:00+09:00,42790,1197,1169,0,0,1/3/2022 14:00,95307,0,,,,,,,,,,95307,45156,
2022-03-01 14:30:00+09:00,32500,920,894,0,0,1/3/2022 14:30,109884,0,,,,,,,,,,109884,34314,
2022-03-01 15:00:00+09:00,8810,263,256,0,0,1/3/2022 15:00,124817,0,,,,,,,,,,124817,9329,
2022-03-01 15:30:00+09:00,6540,202,197,0,0,1/3/2022 15:30,126637,0,,,,,,,,,,126637,6939,
2022-03-01 16:00:00+09:00,5940,179,183,0,0,1/3/2022 16:00,121869,0,,,,,,,,,,121869,6302,
2022-03-01 16:30:00+09:00,5140,175,166,0,0,1/3/2022 16:30,114641,0,,,,,,,,,,114641,5481,
2022-03-01 17:00:00+09:00,520,37,37,0,0,1/3/2022 17:00,128514,0,,,,,,,,,,128514,594,
2022-03-01 17:30:00+09:00,0,0,1,0,0,1/3/2022 17:30,128387,0,,,,,,,,,,128387,1,
2022-03-01 18:00:00+09:00,0,0,0,0,0,1/3/2022 18:00,129101,0,,,,,,,,,,129101,0,
2022-03-01 18:30:00+09:00,0,0,0,0,0,1/3/2022 18:30,122356,0,,,,,,,,,,122356,0,
2022-03-01 19:00:00+09:00,0,0,0,0,0,1/3/2022 19:00,123626,0,,,,,,,,,,123626,0,
2022-03-01 19:30:00+09:00,0,0,0,0,0,1/3/2022 19:30,117174,0,,,,,,,,,,117174,0,
2022-03-01 20:00:00+09:00,0,0,0,0,0,1/3/2022 20:00,124320,0,,,,,,,,,,124320,0,
2022-03-01 20:30:00+09:00,0,0,0,0,0,1/3/2022 20:30,115213,0,,,,,,,,,,115213,0,
2022-03-01 21:00:00+09:00,0,0,0,0,0,1/3/2022 21:00,103340,0,,,,,,,,,,103340,0,
2022-03-01 21:30:00+09:00,0,0,0,0,0,1/3/2022 21:30,113013,0,,,,,,,,,,113013,0,
2022-03-01 22:00:00+09:00,0,0,0,0,0,1/3/2022 22:00,70727,0,,,,,,,,,,70727,0,
2022-03-01 22:30:00+09:00,0,0,0,0,0,1/3/2022 22:30,63210,0,,,,,,,,,,63210,0,
2022-03-01 23:00:00+09:00,0,0,0,0,0,1/3/2022 23:00,53697,0,,,,,,,,,,53697,0,
